spam	asunto	texto
0	Detalles sobre el programa de recompensas	Te enviamos información sobre nuestro programa de recompensas. Por favor, revisa el documento adjunto.
1	¡Recibe un regalo de $100 solo por registrarte!	Únete a nuestra lista y recibe un regalo de $100. Haz clic aquí para obtenerlo.
0	Confirmación de tu pedido en línea	Tu pedido ha sido confirmado y será enviado en breve. Consulta el resumen de tu compra en el enlace adjunto.
1	¡Gana un viaje a las Islas Malvinas!	Participa en nuestro sorteo y podrías ganar un viaje a las Islas Malvinas. Haz clic aquí para inscribirte.
0	Recordatorio de tu suscripción mensual	Te recordamos que tu suscripción se renovará automáticamente el próximo mes. No dudes en contactarnos si tienes preguntas.
1	¿Quieres hacer dinero desde casa?	Haz clic aquí para descubrir cómo puedes ganar dinero desde casa fácilmente. ¡No te lo pierdas!
0	Detalles sobre la reunión de revisión de proyectos	Te recordamos que la reunión de revisión de proyectos se llevará a cabo el martes. Por favor, consulta la agenda en el archivo adjunto.
1	¡Obtén acceso exclusivo a productos gratis!	Regístrate ahora y obtén acceso exclusivo a productos gratis. Haz clic aquí para más información.
0	Confirmación de asistencia a la clase	Tu asistencia a la clase ha sido confirmada. Por favor, revisa el horario en el enlace adjunto.
1	¡Gana un coche nuevo en nuestra promoción!	Participa en nuestra promoción y podrías ganar un coche nuevo. Haz clic aquí para registrarte.
0	Informe de actividad de tu cuenta adjunto	Adjunto encontrarás el informe de actividad de tu cuenta. Por favor, revisa los detalles.
1	¡Gana un televisor de última generación!	Participa en nuestro sorteo y podrías ganar un televisor de última generación. Haz clic aquí para registrarte.
0	Notificación de renovación de tu suscripción	Tu suscripción se renovará automáticamente el próximo mes. Consulta los detalles en el enlace adjunto.
1	¡Aprovecha esta oferta limitada y recibe dinero fácil!	Haz clic aquí para descubrir cómo obtener dinero fácil con esta oferta limitada. ¡No te lo pierdas!
0	Recordatorio de entrega de documentos	Tenemos un recordatorio para la entrega de documentos el próximo viernes. Por favor, asegúrate de enviarlos a tiempo.
1	¡Obtén un cheque de $500 solo por participar!	Participa en nuestra encuesta y obtén un cheque de $500. Haz clic aquí para más información.
0	Confirmación de asistencia a la capacitación	Tu asistencia a la capacitación ha sido confirmada. Por favor, revisa la agenda en el documento adjunto.
1	Descubre cómo ganar dinero mientras duermes	Haz clic aquí para aprender el método que te permitirá ganar dinero mientras duermes. ¡Es fácil y rápido!
0	Detalles sobre la reunión de actualización de proyectos	Te recordamos que la reunión de actualización de proyectos es el jueves a las 10 AM. Asegúrate de asistir.
1	¡Reclama tu tarjeta regalo de $250 ahora!	Has sido seleccionado para recibir una tarjeta regalo de $250. Haz clic aquí para reclamarla antes de que se acabe la oferta.
0	Informe de desempeño mensual adjunto	Adjunto encontrarás tu informe de desempeño mensual. Por favor, revisa los detalles y háznoslo saber si tienes preguntas.
1	¡Gana un viaje de lujo a Cancún!	Participa en nuestro sorteo y podrías ganar un viaje de lujo a Cancún. Haz clic aquí para inscribirte.
0	Confirmación de tu compra en línea	Gracias por tu compra. Tu pedido ha sido confirmado y será enviado en breve. Consulta el resumen de tu compra adjunto.
1	¡Haz dinero desde casa con este método sencillo!	Haz clic aquí para descubrir cómo puedes hacer dinero desde casa con un método fácil y rápido. ¡Regístrate ahora!
0	Notificación de actualizaciones en tu cuenta	Te informamos que se han realizado algunas actualizaciones en tu cuenta. Por favor, revisa el enlace para más detalles.
1	¿Quieres ser parte de un programa exclusivo?	Haz clic aquí para unirte a nuestro programa exclusivo y recibir recompensas increíbles. ¡No te lo pierdas!
0	Recordatorio de pago de factura pendiente	Te recordamos que tienes un pago de factura pendiente para el próximo mes. Consulta el archivo adjunto para más detalles.
1	¡Obtén productos de belleza gratis hoy mismo!	Regístrate ahora y recibe productos de belleza gratis en tu hogar. Haz clic aquí para más información.
0	Confirmación de asistencia a la reunión anual	Tu asistencia a la reunión anual ha sido confirmada. Por favor, consulta el programa en el documento adjunto.
1	¡Gana un smartphone de última generación!	Participa en nuestro concurso y podrías ganar un smartphone de última generación. Haz clic aquí para registrarte.
0	Informe de progreso del proyecto adjunto	Adjunto encontrarás el informe de progreso del proyecto. Por favor, revisa los detalles y háznoslo saber si tienes comentarios.
1	¡Recibe $1000 en efectivo hoy!	Participa en nuestra promoción y podrías recibir $1000 en efectivo. Haz clic aquí para más detalles.
0	Confirmación de cita médica	Te confirmamos tu cita médica para el próximo jueves a las 3 PM. Por favor, llega 15 minutos antes.
1	¡Gana un viaje a las Maldivas!	Participa en nuestro concurso y podrías ganar un viaje a las Maldivas. Regístrate ahora y no te lo pierdas.
0	Actualización sobre tu cuenta bancaria	Hemos realizado una actualización importante en tu cuenta. Consulta el enlace para más detalles.
1	¡Haz clic aquí para obtener tu regalo sorpresa!	Has sido seleccionado para recibir un regalo sorpresa. Haz clic aquí para reclamarlo antes de que expire la oferta.
0	Detalles sobre la reunión de planificación estratégica	Te recordamos que la reunión de planificación estratégica es el viernes a las 9 AM. Por favor, revisa la agenda en el documento adjunto.
1	¡Accede a un curso gratuito de cocina!	Regístrate ahora y obtén acceso a un curso gratuito de cocina en línea. Haz clic aquí para más información.
0	Notificación de pago recibido	Te informamos que hemos recibido tu pago. Gracias por tu pronta respuesta.
1	¡Consigue un préstamo sin intereses ahora!	Haz clic aquí para obtener un préstamo sin intereses de manera rápida y fácil. ¡No te lo pierdas!
0	Recordatorio de entrega de proyecto	Te recordamos que la entrega del proyecto es el lunes. Por favor, asegúrate de cumplir con el plazo.
0	Coordinar reunión de emergencia para revisión de presupuesto	Es necesaria una reunión para ajustar el presupuesto debido a gastos imprevistos.
0	Confirmación de reunión	Este es un recordatorio para confirmar nuestra reunión el jueves a las 3:00 PM. ¿Sigue disponible?
0	Coordinar reunión de emergencia para revisión de presupuesto	Es necesaria una reunión para ajustar el presupuesto debido a gastos imprevistos.
0	Cita médica urgente	Estimado paciente, le recordamos que tiene una cita médica programada para mañana a las 10:00 AM. Es importante que asista.
0	Pago inmediato requerido	Por favor, realice el pago de la factura adjunta antes del final del día para evitar cargos adicionales.
0	Solicitud de informe	Estimado equipo, por favor, envíenme el informe de ventas de este mes para revisarlo antes de la reunión.
0	Confirmación de reunión	Este es un recordatorio para confirmar nuestra reunión el jueves a las 3:00 PM. ¿Sigue disponible?
0	Cumpleaños de Juan	¡Hola a todos! No olviden que el cumpleaños de Juan es este viernes. ¡Hagamos una pequeña celebración!
0	Reunión de seguimiento	Quiero programar una reunión de seguimiento para discutir el progreso del proyecto. ¿Qué días tienen libres la próxima semana?
0	Accidente de tráfico	Atención: ha habido un accidente de tráfico en la autopista. Se requiere asistencia inmediata.
0	Actualización de proyecto	Hola, solo quería informarles que hemos avanzado en el proyecto y deberíamos estar listos para la revisión la próxima semana.
0	Planificación de vacaciones	Quisiera discutir la planificación de nuestras vacaciones. Podemos hablar sobre esto en la próxima reunión.
0	Resultados de la prueba	Los resultados de su prueba están disponibles. Por favor, contáctenos inmediatamente para discutirlos.
0	Reunión urgente con el cliente	Necesitamos discutir el proyecto hoy a las 3 PM.
0	Planificación de tareas	Planifiquemos las tareas para el próximo mes en nuestra próxima reunión.
0	Notificación de cambio de horario	El horario de la reunión ha cambiado, revisa el calendario.
0	Revisión del contrato	Necesito que revises el contrato adjunto antes de firmarlo.
0	Actualización del estado del proyecto	El estado del proyecto está actualizado. Por favor, consulta el documento adjunto.
0	Consulta sobre el pago	Estoy consultando sobre el estado de un pago pendiente.
0	Recordatorio: pago de factura	No olvides el pago de la factura que vence el viernes.
0	Planificación del evento	Estamos planificando el evento de fin de año. Más detalles pronto.
0	Problema de seguridad	Se ha detectado un problema de seguridad que necesita atención inmediata.
0	Vacaciones programadas	Recuerda que estoy de vacaciones la próxima semana y no estaré disponible.
0	Revisión de documentos	Necesito que revises los documentos antes del viernes.
0	Solicito confirmación de asistencia	Por favor, confirma tu asistencia a la reunión de mañana.
0	Promoción de productos	Consulta nuestra nueva promoción de productos en la tienda.
0	Reunión de emergencia	Hay una reunión de emergencia programada para hoy a las 4 PM. Asistencia obligatoria.
0	Actualización de la política de trabajo	Por favor, revisa la actualización de nuestra política de trabajo a distancia.
0	Propuesta de colaboración	Estamos interesados en una colaboración potencial. ¿Podemos discutirlo la próxima semana?
0	Problemas con el sistema	El sistema se ha caído y necesita atención inmediata para evitar problemas mayores.
0	Recordatorio de entrega	Este es un recordatorio para la entrega de tu informe el lunes.
0	Invitación a la conferencia	Te invito a la conferencia sobre innovación tecnológica. Más detalles en el enlace.
0	Actualizar perfil profesional en LinkedIn	Revise su perfil de LinkedIn y realice actualizaciones de logros recientes. No es urgente, pero ayudará a mejorar su presencia profesional.
0	Planificar agenda para la próxima semana	Tome un momento para organizar su agenda de actividades y reuniones para la semana siguiente.
0	Revisar facturas de servicios automáticos	Verifique los cobros automáticos de servicios y asegúrese de que todo esté en orden.
0	Confirmar asistencia a evento virtual profesional	Revise la invitación y confirme su participación en el evento de networking.
0	Hacer el presupuesto mensual de gastos	Es necesario planificar los gastos del mes para tener un mejor control financiero.
0	Revisar términos de renovación del seguro	Verifique los términos de su seguro, la fecha de renovación se acerca y podría necesitar ajustes.
0	Organizar documentos de impuestos	Empiece a organizar los documentos para la próxima declaración de impuestos.
0	Preparar presentación para reunión de equipo	Revise y actualice la presentación que se usará en la próxima reunión.
0	Actualizar registros médicos personales	Reúna y actualice sus registros médicos en el archivo familiar.
1	Promoción exclusiva: iPhone gratis	Recibe un iPhone sin costo al completar una breve encuesta en línea.
1	Gana dinero desde casa, sin experiencia necesaria	Inscríbete hoy y comienza a ganar fácilmente con nuestro programa.
1	¡Última oportunidad! Prueba gratuita de software	Obtén un acceso exclusivo a nuestra herramienta premium durante 30 días.
1	Descubre el secreto para mejorar tu crédito	Recibe asesoría financiera gratuita y mejora tu puntaje crediticio rápidamente.
1	Certificado de regalo por valor de $1000	Aprovecha tu certificado de regalo, solo haz clic para reclamarlo ahora.
1	Trabajo desde casa: Gana $500 a la semana	Únete a nuestro equipo de trabajo remoto y disfruta de horarios flexibles.
1	El secreto de la juventud eterna	Adquiere nuestro producto milagroso y transforma tu vida para siempre.
1	¡Tu suscripción ha sido renovada!	Si no deseas continuar, haz clic aquí para cancelar la renovación automática.
1	Recompensas instantáneas por tus opiniones	Completa encuestas y recibe recompensas en efectivo y tarjetas de regalo.
1	Regístrate para ganar un viaje de lujo	Participa en nuestro sorteo y podrías ganar un viaje de una semana a las Bahamas.
0	Consultar recomendaciones sobre un curso en línea	Lea opiniones y recomendaciones de un curso que desea tomar, útil para su desarrollo profesional.
0	Inscribirse en el gimnasio o club deportivo	Considere la inscripción en un gimnasio cercano. Sería beneficioso para su salud.
0	Comprar insumos para proyectos de bricolaje	Revise los materiales necesarios y compre los faltantes para el proyecto de bricolaje que tiene en mente.
0	Consultar con el médico sobre rutina de ejercicios	Agende una consulta para confirmar que su rutina física es adecuada.
0	Planear un día de voluntariado con el equipo	Coordine un día de voluntariado para el equipo. No es urgente, pero motiva el trabajo en equipo.
0	Verificar vencimiento de documentos personales	Revise si sus documentos (pasaporte, licencia) están al día y planifique renovaciones si es necesario.
0	Crear lista de materiales para un nuevo curso	Si planea tomar un curso pronto, haga una lista de materiales necesarios.
0	Revisar la limpieza de la oficina en casa	Es momento de organizar el espacio de trabajo en casa, mejorará la productividad.
0	Leer artículos recientes de su campo profesional	Dedique tiempo a leer artículos relevantes para mantenerse actualizado.
0	Planear actividades recreativas para el fin de semana	Organice alguna actividad para desconectar del trabajo, le ayudará a relajarse.
0	Solicito tu opinión	Me gustaría saber tu opinión sobre la propuesta que envié anteriormente.
0	Acción requerida: Contraseña	Por favor, actualiza tu contraseña antes de que finalice la semana.
0	Reunión urgente con el cliente	Necesitamos discutir el proyecto hoy a las 3 PM.
0	Planificación de tareas	Planifiquemos las tareas para el próximo mes en nuestra próxima reunión.
0	Notificación de cambio de horario	El horario de la reunión ha cambiado, revisa el calendario.
1	¡Increíbles ofertas en productos tecnológicos!	Compra ahora y ahorra hasta un 70% en los últimos gadgets.
1	Certificado de regalo de Amazon de $500	Has sido seleccionado para recibir este certificado, ¡reclámalo ahora!
1	Transforma tu cuerpo en 30 días	Únete a nuestro programa de fitness y comienza a ver resultados.
1	¡No pagues más por tu factura de electricidad!	Descubre cómo puedes reducirla a la mitad.
1	Te invitamos a un seminario web exclusivo	Aprende secretos de éxito de los mejores emprendedores.
1	¡Compra uno y lleva dos gratis!	Oferta limitada en productos de belleza y cuidado personal.
1	Recibe una consulta gratuita con un experto financiero	Obtén consejos personalizados para tus inversiones.
1	¡Gana un viaje todo pagado a Europa!	Participa en nuestro concurso y podrías ser el afortunado ganador.
1	Incrementa tus seguidores en redes sociales fácilmente	Utiliza nuestra herramienta y observa el crecimiento inmediato.
1	Productos milagrosos para perder peso rápidamente	No te pierdas esta oportunidad de cambiar tu vida.
0	Revisión del contrato	Necesito que revises el contrato adjunto antes de firmarlo.
0	Actualización del estado del proyecto	El estado del proyecto está actualizado. Por favor, consulta el documento adjunto.
0	Consulta sobre el pago	Estoy consultando sobre el estado de un pago pendiente.
0	Recordatorio: pago de factura	No olvides el pago de la factura que vence el viernes.
0	Planificación del evento	Estamos planificando el evento de fin de año. Más detalles pronto.
0	Problema de seguridad	Se ha detectado un problema de seguridad que necesita atención inmediata.
0	Vacaciones programadas	Recuerda que estoy de vacaciones la próxima semana y no estaré disponible.
0	Revisión de documentos	Necesito que revises los documentos antes del viernes.
0	Solicito confirmación de asistencia	Por favor, confirma tu asistencia a la reunión de mañana.
0	Promoción de productos	Consulta nuestra nueva promoción de productos en la tienda.
0	Reunión de emergencia	Hay una reunión de emergencia programada para hoy a las 4 PM. Asistencia obligatoria.
0	Actualización de la política de trabajo	Por favor, revisa la actualización de nuestra política de trabajo a distancia.
0	Propuesta de colaboración	Estamos interesados en una colaboración potencial. ¿Podemos discutirlo la próxima semana?
0	Problemas con el sistema	El sistema se ha caído y necesita atención inmediata para evitar problemas mayores.
0	Recordatorio de entrega	Este es un recordatorio para la entrega de tu informe el lunes.
0	Invitación a la conferencia	Te invito a la conferencia sobre innovación tecnológica. Más detalles en el enlace.
0	Solicito tu opinión	Me gustaría saber tu opinión sobre la propuesta que envié anteriormente.
0	Acción requerida: Contraseña	Por favor, actualiza tu contraseña antes de que finalice la semana.
0	Consulta sobre proyecto	¿Podrías darme una actualización sobre el estado del proyecto?
0	Revisión de políticas de seguridad	Es hora de revisar nuestras políticas de seguridad. Por favor, consulta el documento adjunto.
0	Confirmación de cita	Necesito que confirmes nuestra cita del miércoles a las 2 PM.
0	Newsletter mensual	Aquí tienes nuestra newsletter mensual con las últimas actualizaciones.
1	Oferta limitada: Gana $1000 cada semana	Inscríbete ahora y empieza a ganar dinero desde casa con solo un clic.
1	¡Felicidades! Has ganado un viaje gratuito	Reclama tu viaje de ensueño a un destino exótico, solo responde a este correo.
1	Medicamentos recetados a precios reducidos	Compra medicamentos sin receta y ahorra hasta un 90%, entrega rápida y discreta.
1	Consulta gratuita sobre inversiones de alto rendimiento	Invierte en nuestra plataforma y obtén rendimientos garantizados en poco tiempo.
1	Descubre cómo perder peso rápido sin esfuerzo	Prueba nuestro programa exclusivo y comienza a ver resultados en solo una semana.
1	Acceso VIP a descuentos en productos de lujo	Únete a nuestro club y disfruta de precios exclusivos en productos de alta gama.
1	Carta de un príncipe nigeriano	Ayúdame a transferir una fortuna a tu cuenta bancaria y obtén una gran recompensa.
1	Invitación a un seminario web sobre cómo hacerse rico	No te pierdas esta oportunidad única de aprender de los expertos en finanzas.
1	Reclama tu regalo sorpresa por tiempo limitado	Responde a este correo y recibe un obsequio exclusivo que no querrás perderte.
1	Tu cuenta ha sido hackeada, verifica ahora	Para proteger tu información, haz clic aquí y restablece tu contraseña inmediatamente.
0	Evaluación del desempeño	Es hora de completar la evaluación de desempeño del equipo.
0	Solicitud de presupuesto	Por favor, envía el presupuesto solicitado antes del fin de semana.
0	Información sobre la nueva herramienta	Hemos lanzado una nueva herramienta que puede facilitar tu trabajo. Más detalles a continuación.
0	Planificación de proyecto	Debemos planificar el proyecto antes del fin de semana.
0	Recordatorio de entrega	Recuerda enviar la entrega final del informe antes del lunes.
0	Revisión de documento	Por favor, revisa el documento que te envié ayer.
0	Confirmación de reunión	Confirma tu asistencia a la reunión de estrategia para la próxima semana.
0	Compra de ingredientes	No olvides comprar fideos y otros ingredientes para la cena del sábado. Es importante que tengamos todo a tiempo.
0	Sugerencia de menú	Para la cena de esta semana, podríamos preparar fideos. Confirma si estás de acuerdo con la idea.
0	Organización de la cena	Por favor, asegúrate de comprar fideos y otros alimentos necesarios para la cena del viernes.
0	Preparación de la lista de compras	Es hora de preparar la lista de compras. Asegúrate de incluir fideos, los necesitamos para la cena del próximo miércoles.
0	Reunión para planificar la cena	Necesitamos planificar el menú para la cena. Los fideos son una opción, así que revisa tu disponibilidad para comprar.
0	Confirmación de la compra	Por favor, confirma si podrás ir a comprar fideos para la cena de este fin de semana. 
0	Planificación de la semana	Piensa en incluir fideos en el menú de la próxima semana. Haremos la compra el miércoles.
0	Revisión de la receta	Asegúrate de que tengamos fideos para la receta que planeamos preparar el fin de semana.
0	Cambio en la cena	La cena ha cambiado, así que por favor compra fideos para la nueva receta que vamos a hacer.
0	Recordatorio de compra	Este es un recordatorio para que no olvides comprar fideos para la cena del jueves. Es mejor que estemos preparados.
0	Reunión de emergencia	Se ha convocado una reunión de emergencia para hoy a las 3 PM. Tu asistencia es obligatoria.
0	Informe de proyecto retrasado	El informe del proyecto debe ser entregado hoy. Asegúrate de tenerlo listo a más tardar a las 5 PM.
0	Actualización del sistema	El sistema debe ser actualizado de inmediato para evitar problemas de seguridad. Por favor, realiza la actualización ahora.
0	Contrato pendiente	Firma el contrato pendiente antes de finalizar el día para que podamos avanzar con el proyecto.
0	Solicitud de vacaciones	Tu solicitud de vacaciones debe ser aprobada antes de mañana. Asegúrate de enviarla a Recursos Humanos.
1	Oferta de inversión: Triplica tu dinero	Invierte hoy y observa cómo tu dinero crece rápidamente con nuestra estrategia secreta.
1	Compra ahora, paga después	Obtén tu producto ahora y paga en cómodas cuotas más tarde. ¡No te lo pierdas!
1	Tu cuenta ha sido comprometida	Verifica tu información personal para evitar el bloqueo de tu cuenta.
1	Gana premios en efectivo jugando juegos en línea	Juega y gana dinero real en nuestros juegos de casino.
1	Aviso importante de nuestra comunidad	Recibe un bono exclusivo al unirte a nuestra plataforma de inversión en línea.
1	¡Felicidades! Has sido seleccionado para un premio	Reclama tu premio haciendo clic en el enlace a continuación.
1	Curso gratuito para mejorar tus habilidades	Inscríbete en nuestro curso en línea sin costo alguno y aprende a tu ritmo.
1	Atención: Oferta exclusiva para ti	Recibe un producto premium gratis, solo por ser un cliente especial.
1	Obtén una tarjeta de crédito con límite alto	Aplica ahora y recibe una tarjeta de crédito con un límite de $10,000.
1	Tu oportunidad de ser famoso	Envía tu video y podrías ser elegido para un programa de televisión popular.
0	Cita médica urgente	Tu cita médica ha sido programada para mañana. Es crucial que asistas para evaluar tu salud.
0	Resultados de pruebas	Los resultados de tus pruebas médicas están listos. Debes acudir a la consulta para discutirlos hoy.
0	Medicamento crítico	Es imperativo que recojas tu medicamento antes del fin de semana. Tu salud depende de este tratamiento.
0	Cambio de médico	Tu médico ha cambiado la fecha de tu próxima cita. Por favor, asegúrate de confirmar tu asistencia.
0	Consulta de urgencia	Necesitas asistir a una consulta médica de urgencia. Por favor, no la pospongas.
0	Lavar la ropa	No olvides lavar la ropa hoy. Es mejor que lo hagas antes de que se acumule más.
0	Organizar el armario	Podrías organizar el armario este fin de semana. Así será más fácil encontrar lo que necesitas.
0	Pagar la factura de electricidad	Tienes que pagar la factura de electricidad antes del fin de mes. No la dejes para el último momento.
0	Comprar víveres	Recuerda hacer la compra de víveres el sábado. Haremos una comida en casa y necesitamos varios ingredientes.
0	Planificación de la semana	Es hora de planificar la semana. Revisa tus tareas y asegúrate de que todo esté en orden.
0	Reportar falla de equipo	El equipo ha fallado y necesita ser reparado inmediatamente para evitar interrupciones en el trabajo.
0	Revisar la auditoría	La auditoría está programada para mañana. Debes revisarla y estar preparado para responder preguntas.
0	Cambio en la política de la empresa	Se ha implementado un cambio importante en la política de la empresa. Todos los empleados deben ser informados de inmediato.
0	Cita con el especialista	Tu cita con el especialista es mañana a las 10 AM. Asegúrate de tener todos los documentos necesarios.
0	Recoger resultados de exámenes	Tienes que recoger los resultados de tus exámenes médicos hoy. Es esencial para tu tratamiento.
0	Actualizar tu CV	Es un buen momento para actualizar tu CV. Podrías necesitarlo pronto para nuevas oportunidades.
0	Revisar los gastos del mes	Revisa los gastos del mes y asegúrate de que todo esté en orden antes de finalizar el informe financiero.
0	Planificar la reunión del equipo	Necesitas planificar la reunión del equipo para la próxima semana. Reúne los puntos que se deben discutir.
0	Organizar documentos importantes	Tómate un tiempo para organizar tus documentos importantes. Será útil para futuras referencias.
0	Comprar medicamentos de rutina	Asegúrate de comprar tus medicamentos de rutina esta semana para no quedarte sin ellos.
0	Revisión de documento financiero urgente	Se necesita revisar y aprobar un documento financiero hoy mismo. Sin aprobación, se retrasan otros procesos.
0	Enviar resultados de prueba médica al doctor	Los resultados de las pruebas recientes deben ser enviados al doctor lo antes posible para revisión.
0	Reparar fuga de agua en la cocina	Se detectó una fuga de agua. Es necesario contactar a un plomero para evitar daños.
0	Confirmar cita de emergencia con el cardiólogo	Confirme la cita de emergencia con el cardiólogo para recibir atención a tiempo.
0	Actualizar software de seguridad en el servidor	Es imprescindible instalar la actualización de seguridad para evitar vulnerabilidades.
0	Realizar pago atrasado de impuestos	Es necesario saldar el pago de impuestos atrasados para evitar multas adicionales.
0	Recibir paquete importante en la oficina	El paquete necesita ser recibido hoy para cumplir con una fecha límite de proyecto.
1	¡Gana un iPhone gratis!	Participa en nuestro sorteo y podrías ganar un nuevo iPhone. ¡Inscríbete ahora!
1	Recupera tu contraseña en 5 minutos	Haz clic aquí para restablecer tu contraseña y acceder a tu cuenta.
1	¡Felicitaciones! Has ganado un viaje de lujo	Responde este correo para reclamar tu premio y disfrutar de unas vacaciones inolvidables.
1	Encuesta rápida: Gana tarjetas de regalo	Completa nuestra breve encuesta y recibe una tarjeta de regalo de $50.
1	Descubre cómo ganar dinero desde casa	Únete a nuestro programa y aprende a ganar dinero trabajando desde tu hogar.
1	Ofertas especiales solo por tiempo limitado	No te pierdas nuestras ofertas increíbles; actúa rápido antes de que se agoten.
1	Compra un producto y recibe otro gratis	Realiza una compra y te regalamos un producto adicional de igual o menor valor.
1	Atención: Reclama tu seguro de salud gratuito	Obtén cobertura de salud sin costo alguno. Inscríbete hoy mismo.
1	Cursos de idiomas gratis por tiempo limitado	Aprende un nuevo idioma de forma gratuita. ¡Inscríbete antes de que termine la oferta!
1	Compara precios y ahorra dinero en tus compras	Visita nuestro sitio web para encontrar las mejores ofertas y descuentos.
1	¡No pierdas esta oportunidad única!	Invierte en nuestro producto y duplica tu dinero en un mes.
1	Promoción exclusiva: 90% de descuento	Compra hoy y ahorra un 90% en nuestros artículos seleccionados.
1	¡Eres el ganador! Reclama tu premio	Has sido seleccionado para recibir un premio sorpresa. Contáctanos para más detalles.
1	Gana un televisor de última generación	Participa en nuestro concurso y podrías ganar un televisor OLED.
1	Consigue tu préstamo personal aprobado en minutos	Solicita ahora y recibe fondos en tu cuenta hoy mismo.
1	Consulta médica gratuita en línea	Agenda una consulta médica gratuita con nuestros especialistas.
1	¡Es tu día de suerte! Gana hasta $10,000	Participa en nuestra rifa y podrías ser el afortunado ganador.
1	No te quedes atrás: Mejora tu vida hoy	Descubre los secretos para una vida más feliz y exitosa.
1	Prueba nuestro nuevo producto sin costo	Recibe una muestra gratis de nuestro último lanzamiento. ¡Solo por tiempo limitado!
1	Consulta rápida para obtener descuentos	Completa este formulario y recibe descuentos exclusivos en tus próximas compras.
0	Programar reunión con cliente importante	La reunión debe ser programada hoy para resolver asuntos urgentes del proyecto.
0	Contactar a soporte técnico por fallo de sistema	El sistema presenta fallos y está afectando operaciones. Contacte a soporte de inmediato.
0	Confirmar viaje por emergencia familiar	Es necesario confirmar el viaje por una emergencia familiar que requiere su presencia.
0	Solicitar reemplazo urgente de equipo de trabajo	El equipo se ha dañado y es esencial para cumplir con plazos de entrega. Ordene un reemplazo.
0	Informar ausencia en reunión importante	Notifique a su equipo que no podrá asistir y delegue funciones críticas.
0	Revisar notificación de posible fraude en la cuenta	Ha recibido una alerta de posible fraude en la cuenta bancaria. Verifique de inmediato.
0	Contactar a servicios de emergencia por corte de luz	La falta de electricidad está afectando equipos médicos críticos en casa. Contacte a emergencia.
0	Recibir aprobación de alta médica por operación	La alta médica debe ser confirmada hoy para dar seguimiento a los cuidados.
0	Coordinar evacuación por incendio en la oficina	Se ha detectado un incendio y debe coordinarse la evacuación inmediata.
0	Resolver problemas de acceso a cuenta bancaria	Ha perdido acceso a su cuenta y necesita resolverlo con el banco.
0	Entregar documentos legales para trámite judicial	Los documentos deben ser entregados hoy para proceder con un caso judicial.
0	Notificar problema de seguridad en la red de trabajo	Detectó una posible intrusión en la red de trabajo. Informe al equipo de IT.
0	Confirmar cita para cirugía programada	Es necesario confirmar la cita para una cirugía importante en los próximos días.
0	Programar chequeo dental de rutina	Agende un chequeo dental preventivo para evitar problemas futuros.
0	Revisar informe mensual de ventas	Es recomendable revisar el informe mensual para analizar el rendimiento, pero no es urgente.
0	Hacer mantenimiento de la bicicleta	Verifique el estado de su bicicleta y realice ajustes para asegurar su buen funcionamiento.
0	Actualizar lista de contactos profesionales	Agregue contactos recientes y mantenga la lista actualizada para futuras oportunidades.
0	Revisar stock de suministros en la oficina	Revise el inventario y planee la compra de insumos cuando sea necesario.
0	Leer la última revista de la industria	Revise la última edición para mantenerse informado sobre tendencias y novedades.
0	Enviar recordatorio de pago a un cliente	Envía un recordatorio de cortesía a un cliente para agilizar el proceso de pago.
0	Verificar los horarios de transporte para un viaje próximo	Confirme los horarios para su viaje y evite imprevistos.
0	Realizar tareas de limpieza en el escritorio	Organice su espacio de trabajo, ayudará a mantener la concentración.
0	Crear un archivo de respaldo de los documentos importantes	Cree una copia de respaldo para prevenir la pérdida de información relevante.
0	Organizar carpetas digitales en el ordenador	Clasifique archivos digitales para encontrar documentos importantes fácilmente.
0	Programar revisión de seguro de automóvil	Agende una revisión para verificar si necesita cambios en la póliza.
1	¡Gana dinero desde casa!	Descubre cómo puedes generar ingresos fácilmente desde tu sofá.
1	Promoción exclusiva: Viaje a Cancún por solo $99	Reserva ahora y escapa a la playa con un precio increíble.
1	El secreto para mejorar tu salud en 30 días	Adquiere nuestro programa y transforma tu vida.
1	¡Felicidades! Has ganado un cheque por $1,000	Reclama tu premio antes de que expire.
1	Inscripción gratuita a un seminario de inversiones	Aprende a hacer dinero en el mercado de acciones.
1	Descubre cómo eliminar tus deudas en solo 6 meses	Obtén nuestro plan de acción para una vida sin deudas.
1	¡Última oportunidad! Acceso exclusivo a descuentos del 90%	No te pierdas nuestras ofertas antes de que se acaben.
1	Consigue un seguro de salud por menos de $50 al mes	Obtén cobertura completa sin romper el banco.
1	Cursos en línea gratuitos sobre cualquier tema	Amplía tus conocimientos con nuestros cursos accesibles.
1	Ofertas de trabajo que pagan hasta $5,000 al mes	No te quedes fuera, aplica ahora y comienza a ganar.
0	Actualizar la aplicación bancaria en el teléfono	Verifique que la aplicación bancaria esté actualizada para evitar fallos de seguridad.
0	Enviar solicitud de cotización para próximo proyecto	Contacte a proveedores y solicite precios para planificar presupuestos futuros.
0	Consultar opciones de inversión a largo plazo	Investigue opciones de inversión para mejorar sus finanzas a largo plazo.
0	Revisar notificaciones pendientes en la intranet de la empresa	Consulte notificaciones en la intranet para estar al tanto de actualizaciones internas.
0	Planificar una actividad de equipo para fomentar la cohesión	Coordine una actividad recreativa para mejorar el ambiente de trabajo.
